,0
290,ENSG00000154556
291,ENSG00000152253
292,ENSG00000126261
293,ENSG00000087502
294,ENSG00000121211
295,ENSG00000101057
296,ENSG00000168439
297,ENSG00000113810
298,ENSG00000149136
299,ENSG00000124802
300,ENSG00000188290
301,ENSG00000087365
302,ENSG00000106603
303,ENSG00000183955
304,ENSG00000139734
305,ENSG00000138798
306,ENSG00000166165
307,ENSG00000079616
308,ENSG00000179029
309,ENSG00000184897
310,ENSG00000005893
311,ENSG00000114405
312,ENSG00000128789
313,ENSG00000101224
314,ENSG00000150753
315,ENSG00000089280
316,ENSG00000185880
317,ENSG00000179958
318,ENSG00000172590
319,ENSG00000145050
320,ENSG00000011422
321,ENSG00000137285
322,ENSG00000134222
323,ENSG00000072110
324,ENSG00000006634
325,ENSG00000130706
326,ENSG00000162063
327,ENSG00000137309
328,ENSG00000116667
329,ENSG00000170144
330,ENSG00000240065
331,ENSG00000166681
332,ENSG00000106615
333,ENSG00000123595
334,ENSG00000170759
335,ENSG00000123416
336,ENSG00000167996
337,ENSG00000108830
338,ENSG00000108106
339,ENSG00000057757
340,ENSG00000116161
341,ENSG00000104904
342,ENSG00000171848
343,ENSG00000205531
344,ENSG00000158042
345,ENSG00000146674
346,ENSG00000183207
347,ENSG00000196290
348,ENSG00000133169
349,ENSG00000184220
350,ENSG00000095739
351,ENSG00000112983
352,ENSG00000100578
353,ENSG00000048649
354,ENSG00000101361
355,ENSG00000104886
356,ENSG00000095380
357,ENSG00000175592
358,ENSG00000051596
359,ENSG00000119326
360,ENSG00000131462
361,ENSG00000106153
362,ENSG00000228716
363,ENSG00000150787
364,ENSG00000154719
365,ENSG00000112081
366,ENSG00000105894
367,ENSG00000133393
368,ENSG00000112029
369,ENSG00000152154
370,ENSG00000092758
371,ENSG00000165916
372,ENSG00000123080
373,ENSG00000144746
374,ENSG00000112312
375,ENSG00000070087
376,ENSG00000135451
377,ENSG00000167747
378,ENSG00000113070
379,ENSG00000101596
380,ENSG00000108055
381,ENSG00000110435
382,ENSG00000167614
383,ENSG00000104267
384,ENSG00000174442
385,ENSG00000146731
386,ENSG00000186577
387,ENSG00000150347
388,ENSG00000164649
389,ENSG00000131171
390,ENSG00000106617
391,ENSG00000138801
392,ENSG00000196923
393,ENSG00000169641
394,ENSG00000124795
